fairness	公平的游戏
how_to_play	如何玩
best_mode	下注
total_won	总盈利
bet_amount	投注数额
pls_select_sector	请选择一个区域
pls_login_to	请登录
spin	旋转
time	Time
block	模块
player	玩家
prediction	预测
result	结果
bet	赌注
payout	付款
fairness_text	随机数码生成器建立在哈希值之上，任何人事先都不知道。 您可以编入您的赌注ID和投注的区块编号，并确保得到的值和析出编号相匹配。
bet_id	赌注id
block_number	模块编号：
result_2	结果
send	发送
referrals	转交
referrals_text	通过邀请你的朋友获得奖励！ 获得所有其投注的0.2％。 所有奖励都通过我们的智能合约自动发送。 只需复制链接并与所有朋友分享！ 创建推荐链接的价值为8.88 TRX且低于1 TRX交易费。 您可以无限次地创建链接，而旧链接将替换为新链接。
how_1	1. 请确认，您有一个TRONLink钱包。 为得到如何创建的更多信息, <a href="https://chrome.google.com/webstore/detail/tronlink/ibnejdfjmmkpcnlpebklmnkoeoihofec" target="_blank">click here</a>.
how_2	2. 为玩游戏，你必须有TRX，这是TRON网络的主要加密货币。
how_3	3. 设置下注金额。 这是您要下注的TRX金额。
how_4	4. 请选择区域。
how_5	5. 点击旋转进行下注。 智能合约将随机生成幸运数字。
how_6	6.如果区域号等于您的预测，那么您将获胜！ 支付= 赌注 * 区域。
how_7	还有其他问题吗？ 加入我们的<a href="https://t.me/tron888" target="_blank">电报组</a>，我们将竭诚为您服务！
network_err	网路错误
tsc_err	Tron Smart Contract目前无法使用。 请稍后再试。
need_tron	需要 TRONLink
tron_text	登录您的TRONLink钱包。 如果您没有TRONLink钱包，请<a href="https://chrome.google.com/webstore/detail/tronlink/ibnejdfjmmkpcnlpebklmnkoeoihofec" target="_blank">下载Chrome扩展程序</a> 仅适用于Chrome浏览器。
wagered	投注金额
balance	余额
my_bets	我的赌注
all_bets	所有的赌注
high_rollers	大赌注
rare_wins	罕见的胜利
history	历史
money	钱
poker_dice	掷骰子扑克戏
crypto_slots	加密槽
dividends	股息
soon	很快
play	（请玩
to_mine	TRX获得1个代币888）
stage	阶段：
next_stage	下一阶段：
available_dividends	可用股息
total_of 	共计
frozen_across	网上已冻结-您
available	可得到
withdrawn	可允许
freeze	冻结
frozen	冻结的
unfreeze	解冻
wtithdraw_text	请登录您的TRONLink钱包。 如果您没有安装TRONLink钱包，请转到<a href="http://u6.gg/gmc5D" target="_blank"> http://u6.gg/gmc5D </a>并下载Chrome扩展程序。 （TRONbet目前只在Chrome中提供）
freezing	冻结
freezing_text	1.要获得股息，必须将代币888冻结到水平结束并在其结束后解冻。<br> 2。股息仅对冻结代币888发行。<br> 3。为冻结1的最小888代币数。 <br> 4。在等级结束后对代币888进行解冻时，股息将由智能合约的内部交易自动收取。<br> 5。如果冻结时，在帐户中已有冻结代币，则旧代币会自动解冻，然后整个金额完全冻结。如果在旧代币上产生股息，它们会通过内部智能合约交易自动转移到玩家的钱包中。 <br> 6。冻结和解冻代币888消耗几个TRX，必须在执行交易时，钱包里有它们。
withdraw	撤消
token_about	888 Token代币
token_title_1	什么是888代币及其用途是什么？
token_text_1	888代币是TRON区块链上的TRC20代币。 总共可以开采100000000888个代币（有关代币888分配的信息，请查看我们的白皮书）。 代币888的持有人将向TRX支付股息，具体取决于他们拥有多少888个代币。
token_title_2	什么是股息？ 为什么股息规模会发生变化？
token_text_2	股息从888TRON.com的净收入中分配。 股息池将根据888TRON.com的用户奖金和输掉的钱不断变化。
token_title_3	可以买888代币吗？
token_text_3	888代币无法直接购买。 它只能通过888TRON.com游戏获得。 将来，将在DEX和其他加密交易所上提供888代币。
token_title_4	我取了888代币，在哪里可以看到它们？
token_text_4	可以将888代币添加到Tronlink。 为此，请选择代币部分并添加地址 "TLvDJcvKJDi3QuHgFbJC6SeTj3UacmtQU3"。 之后你可以处理它们。
token_title_5	获得红利后，我的888代币会被烧掉吗？
token_text_5	不，如果您未决定在加密交易中兑换它们，888代币将永远与您同在。 只要您的钱包有888代币，您就可以从888TRON.com获得股息。 如果您拥有的888代币数量不随时间变化，则您收到的股息金额可能会随着时间的推移而减少。
token_title_6	888代币现在多少钱？ 我现在可以兑换888代币吗？
token_text_6	您可以查看“红利”项，查找有关888代币的实时信息。 888代币的价格将取决于整个888TRON.com平台和社区。 888代币可以在将来通过加密交易进行兑换。
token_title_7	我需要取888代币吗？
token_text_7	要获得股息，必须取888代币，然后冻结，直到股息分配期结束，并在结束后解冻。 非冻结代币不会获得股息。 解冻后，股息将通过智能合约自动转入您的账户。
alreadyExist	已经存在！
copy_link	复制链接
noMoney	钱包里的TRX不够。
reward_sum	奖励：
cards	骰子52
prediction	预测
result	结果
draw_under	小牌
draw_equal	等牌
draw_over	大牌
payout_win	付款
multiplayer	多人
win_chance	机会
how_dice	4. 一副有52张牌。 小牌2，大牌A（尖）。 玩家从一副中选择任何牌。 玩家在三押一注：下一张牌是由玩家选择的第一张牌随机分配的52张牌之一，将是更大或更小或等级。 花色在游戏中是有意义的。在猜测的情况下，玩家以投标金额乘以对应于所选择的玩家牌的系数和所选择的投注比率支付。
total_mined	总挖掘
unfreezeToWithdraw	Unfreeze Tokens 888 to withdraw
subscribe	订阅
your_email	您的邮箱地址
still_have_questions	还有疑问？
send_email	请给我们发送电子邮件：
bet_tooltip	官方提示:由于手续费偏高，投100返回100.36，在这种情况下手续费约0.5,因此50,100的额度是亏损的，建议200起。
support	支持
exchange	交易所
leaderboard	Leaderboard
roadmap	路线图
roadmap_date_1	3月
roadmap_text_1	支持德语和日语
roadmap_date_2	3月
roadmap_text_2	主要为游戏平台的改进和优化（主要是速度和挖矿成本）
roadmap_date_3	4月
roadmap_text_3	推出新游戏“欧洲轮盘赌”
roadmap_date_4	4月
roadmap_text_4	介绍888生态概念和如何迈出第一步。
roadmap_date_5	5月
roadmap_text_5	推出新游戏“黑杰克”
roadmap_date_6	5月
roadmap_text_6	启动最佳开发团队大赛，奖金超10w美元。
roadmap_date_7	从6月
roadmap_text_7	开始推出第一个孵化dapp。
roadmap_date_8	7月
roadmap_text_8	研究合法化以及申请牌照。
question_1	我没有拿到我赢得钱
answer_1	请用你的波场钱包登录tronscan.org浏览器，然后输入你的钱包地址查看记录，所有奖金都来自合约地址TGtGhthzyLBYPUKDysXX1YSgRKPYVTQuMe
question_2	我没有收到分红
answer_2	首先确保你的令牌处于锁定状态，然后可以登录tronscan.org浏览器，输入你的钱包地址查看记录，所有分红支付都来自合约地址TGtGhthzyLBYPUKDysXX1YSgRKPYVTQuMeTGtGhthzyLBYPUKDysXX1YSgRKPYVTQuMe
question_3	我在玩的时候少了一些888
answer_3	888Tron.com是一个基于区块链的平台，如果你的投注被智能合约接受，这意味着它是由区块链处理的，可以很容易的在tronscan.org浏览器上进行检查，所有获奖奖金都来自这个地址:TGtGhthzyLBYPUKDysXX1YSgRKPYVTQuMe，未接受的投注不会影响您的钱包余额，并将被退还。由于每秒的投注数非常高(15-20)，一些投注可能被合约拒绝。
question_4	如何查看我的交易历史
answer_4	你可以用这个工具检查你的游戏日志，https://888tron.com/api/getHistory?address= - After (=)，在(=)后面输入你的钱包地址
question_5	我的Tronlink钱包今天链接不上888tron.com网站上。
answer_5	轻刷新网站或者重新链接，并确保你的钱包在主网下面，以及尝试在钱包“设置”中更换节点
question_6	我的888代币不能冻结(解冻)。
answer_6	首先请确保你的钱包里面有5trx（因为每次冻结或者解冻时都需要消耗宽带和能量）然后等待5-10秒，以及尝试刷新页面、查看主网、更换节点等操作。
question_7	我的推荐链接无法使用。
answer_7	由于你被另一位推荐人邀请参与到888tron.com，现在你的钱包已经和那个推荐人绑定在一起了，所以你不能使用自己的邀请了。
question_8	我如何从888领取股息（分红）?
answer_8	按住游戏内的“解冻”按钮就可以得到他们，分红将立即转账到您的钱包，并确保你的账户上又3各trx，并且解冻完不要忘记再次再次冻结您的令牌，这样你就不会错过下一次分红了。
question_9	我如何参与到888游戏呢？
answer_9	你需要Chrome浏览器，并注册TRONLink钱包在桌面上参与游戏，手机上可以在麦子钱包、稳拿派钱包上参与。
question_10	我可以在哪里兑换我的代币？
